bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,is_canonical,across_dataset_cluster,notes
1886132855,194,457,457,1643,Traced,M_adPNm7_R,407795600,True,right,M_adPNm7,M_adPNm7,mPN,AVM01,mPN,2.235,2.0,1344.0,289.0,58.0,396.0,1381.87170604621,469.58609913089896,633.400198248466,45.12715745990089,0.352363988571489,False,25,
1672293837,257,448,448,2412,Traced,M_lvPNm29_R,425982169,True,right,M_lvPNm29,M_lvPNm29,mPN,AVM06,mPN,3.045,3.0,2197.0,82.0,78.0,360.0,1671.9263127650102,369.40855329992996,730.3793138678819,265.095062951447,0.5402078879437371,False,62,
5901194250,185,251,251,1306,Traced,M_lvPNm37_R,364231991,True,right,M_lvPNm37,M_lvPNm37,mPN,AVM06,mPN,2.191,2.0,1089.0,178.0,58.0,185.0,1239.82558352766,346.66142186461406,447.95461523456703,221.78646024717702,0.27778628129933697,False,54,
757569579,150,140,140,1098,Traced,M_lvPNm44_R,424770310,True,right,M_lvPNm44,M_lvPNm44,mPN,AVM06,mPN,2.322,2.0,1033.0,14.0,24.0,103.0,1414.9204523076,338.850153047171,563.886997377707,332.61246907005403,0.608716421506841,False,77,
1762674761,131,417,417,1178,Traced,M_adPNm8_R,383643368,True,right,M_adPNm8,M_adPNm8,mPN,AVM01,mPN,2.454,2.0,942.0,155.0,61.0,345.0,1277.49879934082,158.051596758082,588.846802316413,300.532786964703,0.38477131016113797,False,25,
1849683877,131,185,185,805,Traced,M_lvPNm46_R,389666099,False,right,M_lvPNm46,M_lvPNm46,mPN,AVM06,mPN,2.102,2.0,697.0,13.0,30.0,143.0,1314.75945376353,184.33418603130798,538.319359643236,326.545418305704,0.611393336973324,False,82,
1765415970,330,497,497,2848,Traced,M_lvPNm41_R,354134565,False,right,M_lvPNm41,M_lvPNm41,mPN,AVM06,mPN,2.472,3.0,2219.0,552.0,55.0,431.0,1618.5172134439301,343.660994032504,752.800449197547,258.364964281903,0.320182908729705,False,71,
757591093,215,236,236,1871,Traced,M_lvPNm45_R,365802346,False,right,M_lvPNm45,M_lvPNm45,mPN,AVM06,mPN,2.102,2.0,1820.0,3.0,70.0,157.0,1444.93655277927,475.464656053655,385.003480748188,325.770929568209,0.5594910932782641,False,76,
762982753,186,648,648,1456,Traced,M_adPNm5_R,465363244,True,right,M_adPNm5,M_adPNm5,mPN,AVM01,mPN,2.201,2.0,1186.0,251.0,140.0,503.0,1736.3255178339903,448.523314563714,830.0367547472721,210.8368772016,0.279480309286953,False,23,
792024028,275,281,281,2449,Traced,M_lvPNm43_R,358708935,True,right,M_lvPNm43,M_lvPNm43,mPN,AVM06,mPN,2.9010000000000002,3.0,2218.0,210.0,57.0,214.0,1520.92166050276,472.14836103484004,586.487272506462,256.277133790704,0.36316448505779103,False,73,
792023887,273,191,191,2389,Traced,M_lvPNm45_R,348388892,False,right,M_lvPNm45,M_lvPNm45,mPN,AVM06,mPN,2.371,2.0,2252.0,118.0,62.0,117.0,1476.19034702484,579.223895694589,420.031864482933,251.626985535412,0.307924277564385,False,73,
788940872,213,441,441,1652,Traced,M_adPNm6_R,380031115,False,right,M_adPNm6,M_adPNm6,mPN,AVM01,mPN,2.191,2.0,1241.0,340.0,37.0,401.0,1550.7039323939002,487.42484933257896,759.2831114722909,44.383647444428604,0.357330851661048,False,49,
1795410644,279,385,385,2261,Traced,M_lvPNm41_R,323299990,False,right,M_lvPNm41,M_lvPNm41,mPN,AVM06,mPN,3.0210000000000004,3.0,1782.0,470.0,63.0,313.0,1576.49537887989,352.59847976533996,692.45148729477,257.887784924739,0.25699903355737197,False,71,
1732313117,264,436,436,1925,Traced,M_lvPNm40_R,315958873,False,right,M_lvPNm40,M_lvPNm40,mPN,AVM06,mPN,2.8560000000000003,3.0,1384.0,462.0,62.0,364.0,1613.43479065367,341.770886742928,760.149502269514,255.633998671481,0.249712070701147,False,70,
2040344064,164,385,385,1183,Traced,M_adPNm5_R,328551325,False,right,M_adPNm5,M_adPNm5,mPN,AVM01,mPN,2.147,2.0,866.0,293.0,38.0,343.0,1413.5074027791,543.7443375935981,624.079265044251,32.4143233530099,0.30766785890332005,False,23,
1916528384,177,317,317,1322,Traced,M_adPNm5_R,340913028,True,right,M_adPNm5,M_adPNm5,mPN,AVM01,mPN,2.178,2.0,975.0,347.0,34.0,274.0,1325.1254618666198,490.92224733309797,559.228846035817,41.8213836945989,0.272425810554871,False,22,
851684181,292,450,450,2600,Traced,M_lvPNm42_R,327922339,False,right,M_lvPNm42,M_lvPNm42,mPN,AVM06,mPN,2.991,3.0,2147.0,415.0,61.0,382.0,1730.35920649103,410.06412392308295,786.322466949783,264.236335176862,0.338888339534481,False,73,
1943811511,258,268,268,2055,Traced,M_lvPNm31_R,298893865,False,right,M_lvPNm31,M_lvPNm31,mPN,AVM06,mPN,2.835,3.0,1720.0,259.0,39.0,221.0,1411.1256138790302,257.876047814053,650.352325273539,272.206502862877,0.355398030643344,False,68,
697844568,140,372,372,1015,Traced,M_lvPNm40_R,187294564,False,right,M_lvPNm40,M_lvPNm40,mPN,AVM06,mPN,2.79,3.0,683.0,232.0,48.0,307.0,1253.21178216852,199.234629607823,565.050891097844,278.722902983972,0.275101598146473,False,70,
639276164,372,572,572,3450,Traced,M_lvPNm25_R,639780556,True,right,M_lvPNm25,M_lvPNm25,mPN,AVM06,mPN,2.241,2.0,3111.0,7.0,95.0,456.0,2038.6739832237301,394.734216536937,956.102505138741,276.323424228385,0.700934487530636,False,65,
